tag,algo,precision,recall,auprc,prevalence
L1,enet,0.918918918918919,0.25,0.8873031424096209,0.7195767195767195
L1,enet,0.9166666666666666,0.2426470588235294,0.8873031424096209,0.7195767195767195
L1,enet,0.9142857142857143,0.23529411764705882,0.8873031424096209,0.7195767195767195
L1,enet,0.9117647058823529,0.22794117647058823,0.8873031424096209,0.7195767195767195
L1,enet,0.9090909090909091,0.22058823529411764,0.8873031424096209,0.7195767195767195
L1,enet,0.9375,0.22058823529411764,0.8873031424096209,0.7195767195767195
L1,enet,0.9354838709677419,0.21323529411764705,0.8873031424096209,0.7195767195767195
L1,enet,0.9333333333333333,0.20588235294117646,0.8873031424096209,0.7195767195767195
L1,enet,0.9655172413793104,0.20588235294117646,0.8873031424096209,0.7195767195767195
L1,enet,0.9642857142857143,0.19852941176470587,0.8873031424096209,0.7195767195767195
L1,enet,0.9629629629629629,0.19117647058823528,0.8873031424096209,0.7195767195767195
L1,enet,0.9615384615384616,0.18382352941176472,0.8873031424096209,0.7195767195767195
L1,enet,0.96,0.17647058823529413,0.8873031424096209,0.7195767195767195
L1,enet,0.9583333333333334,0.16911764705882354,0.8873031424096209,0.7195767195767195
L1,enet,0.9565217391304348,0.16176470588235295,0.8873031424096209,0.7195767195767195
L1,enet,0.9545454545454546,0.15441176470588236,0.8873031424096209,0.7195767195767195
L1,enet,0.9523809523809523,0.14705882352941177,0.8873031424096209,0.7195767195767195
L1,enet,0.95,0.13970588235294118,0.8873031424096209,0.7195767195767195
L1,enet,0.9473684210526315,0.1323529411764706,0.8873031424096209,0.7195767195767195
L1,enet,0.9444444444444444,0.125,0.8873031424096209,0.7195767195767195
L1,enet,0.9411764705882353,0.11764705882352941,0.8873031424096209,0.7195767195767195
L1,enet,0.9375,0.11029411764705882,0.8873031424096209,0.7195767195767195
L1,enet,0.9333333333333333,0.10294117647058823,0.8873031424096209,0.7195767195767195
L1,enet,0.9285714285714286,0.09558823529411764,0.8873031424096209,0.7195767195767195
L1,enet,0.9230769230769231,0.08823529411764706,0.8873031424096209,0.7195767195767195
L1,enet,0.9166666666666666,0.08088235294117647,0.8873031424096209,0.7195767195767195
L1,enet,0.9090909090909091,0.07352941176470588,0.8873031424096209,0.7195767195767195
L1,enet,0.9,0.0661764705882353,0.8873031424096209,0.7195767195767195
L1,enet,0.8888888888888888,0.058823529411764705,0.8873031424096209,0.7195767195767195
L1,enet,0.875,0.051470588235294115,0.8873031424096209,0.7195767195767195
L1,enet,0.8571428571428571,0.04411764705882353,0.8873031424096209,0.7195767195767195
L1,enet,0.8333333333333334,0.03676470588235294,0.8873031424096209,0.7195767195767195
L1,enet,0.8,0.029411764705882353,0.8873031424096209,0.7195767195767195
L1,enet,0.75,0.022058823529411766,0.8873031424096209,0.7195767195767195
L1,enet,0.6666666666666666,0.014705882352941176,0.8873031424096209,0.7195767195767195
L1,enet,0.5,0.007352941176470588,0.8873031424096209,0.7195767195767195
L1,enet,0.0,0.0,0.8873031424096209,0.7195767195767195
L1,enet,1.0,0.0,0.8873031424096209,0.7195767195767195
L4,enet,0.7195767195767195,1.0,0.9746691733089087,0.7195767195767195
L4,enet,0.723404255319149,1.0,0.9746691733089087,0.7195767195767195
