tag,algo,imputer,repeat,fold,auc,inner_auc,n_train,n_test,seconds,kind
L1,rf,median,2,1,0.7575757575757576,0.8051016113516113,151,38,7.4637086391448975,cv
L1,rf,median,2,2,0.8888888888888888,0.8057449494949496,151,38,6.5787599086761475,cv
L1,rf,median,2,3,0.8316498316498316,0.791338985088985,151,38,6.553213119506836,cv
L1,rf,median,2,4,0.8148148148148148,0.7824915824915825,152,37,7.122014284133911,cv
L2,rf,median,0,0,0.7964285714285714,0.8488215488215488,151,38,11.776233434677124,cv
L2,rf,median,0,1,0.8922558922558923,0.7899440836940836,151,38,10.212306261062622,cv
L2,rf,median,0,2,0.7104377104377105,0.8514189514189514,151,38,11.516740083694458,cv
L2,rf,median,0,3,0.8821548821548821,0.8181036556036556,151,38,6.93817663192749,cv
L2,rf,median,0,4,0.8629629629629629,0.8140722703222703,152,37,11.65600061416626,cv
L2,rf,median,1,0,0.9535714285714286,0.803114478114478,151,38,7.9141271114349365,cv
L2,rf,median,1,1,0.9191919191919192,0.8214466089466089,151,38,12.884820461273193,cv
L2,rf,median,1,2,0.8518518518518517,0.8233164983164982,151,38,7.8937764167785645,cv
L2,rf,median,1,3,0.797979797979798,0.7932900432900432,151,38,11.763984203338623,cv
L2,rf,median,1,4,0.6555555555555556,0.8657497594997595,152,37,12.003348588943481,cv
L2,rf,median,2,0,0.8321428571428572,0.856060606060606,151,38,7.3843066692352295,cv
L2,rf,median,2,1,0.7676767676767676,0.8525703463203463,151,38,8.127296686172485,cv
L2,rf,median,2,2,0.8383838383838383,0.8299152236652237,151,38,6.673386812210083,cv
L2,rf,median,2,3,0.9427609427609428,0.7902567340067339,151,38,10.28709864616394,cv
L2,rf,median,2,4,0.8518518518518519,0.8224867724867725,152,37,12.053280591964722,cv
L3,rf,median,0,0,0.8392857142857142,0.8308080808080809,151,38,18.54508900642395,cv
L3,rf,median,0,1,0.8417508417508418,0.8481481481481481,151,38,19.925618648529053,cv
L3,rf,median,0,2,0.7643097643097643,0.8578342953342953,151,38,18.29584789276123,cv
L3,rf,median,0,3,0.8316498316498316,0.848145141895142,151,38,15.347872257232666,cv
L3,rf,median,0,4,0.951851851851852,0.8320286195286195,152,37,19.906813144683838,cv
L3,rf,median,1,0,0.875,0.8264309764309764,151,38,15.54719066619873,cv
L3,rf,median,1,1,0.8619528619528619,0.8244197931697931,151,38,23.267817735671997,cv
L3,rf,median,1,2,0.8956228956228955,0.8453102453102453,151,38,18.022266149520874,cv
L3,rf,median,1,3,0.898989898989899,0.8140482202982203,151,38,20.986361026763916,cv
L3,rf,median,1,4,0.7370370370370372,0.8697540885040885,152,37,19.951119899749756,cv
L3,rf,median,2,0,0.817857142857143,0.8987373737373737,151,38,20.412142753601074,cv
L3,rf,median,2,1,0.7710437710437711,0.8687830687830688,151,38,22.745822191238403,cv
L3,rf,median,2,2,0.8821548821548822,0.8381703944203944,151,38,25.540608167648315,cv
L3,rf,median,2,3,0.9057239057239057,0.8042358104858105,151,38,19.681978702545166,cv
L3,rf,median,2,4,0.8962962962962964,0.8377916065416064,152,37,19.94697594642639,cv
L4,rf,median,0,0,0.9321428571428572,0.8868686868686868,151,38,23.937421083450317,cv
L4,rf,median,0,1,0.9090909090909092,0.8861592111592111,151,38,22.06187343597412,cv
L4,rf,median,0,2,0.8383838383838383,0.898289442039442,151,38,23.083442449569702,cv
L4,rf,median,0,3,0.872053872053872,0.8766624579124578,151,38,18.65380024909973,cv
L4,rf,median,0,4,0.9740740740740741,0.8718464405964406,152,37,35.20079326629639,cv
L4,rf,median,1,0,0.8500000000000001,0.8756734006734007,151,38,28.991217136383057,cv
L4,rf,median,1,1,0.8956228956228955,0.8767015392015391,151,38,29.08914875984192,cv
L4,rf,median,1,2,0.936026936026936,0.863236531986532,151,38,21.679731369018555,cv
L4,rf,median,1,3,0.9562289562289562,0.8471109908609908,151,38,34.58855104446411,cv
L4,rf,median,1,4,0.7666666666666667,0.9076599326599326,152,37,27.34759020805359,cv
L4,rf,median,2,0,0.8785714285714286,0.9184343434343434,151,38,25.781583786010742,cv
L4,rf,median,2,1,0.8383838383838385,0.909433621933622,151,38,23.50904941558838,cv
L4,rf,median,2,2,0.9225589225589225,0.8763468013468014,151,38,29.11279273033142,cv
L4,rf,median,2,3,0.946127946127946,0.8441227753727754,151,38,25.48155903816223,cv
L4,rf,median,2,4,0.9370370370370371,0.9027356902356902,152,37,31.891854524612427,cv
L5,rf,median,0,0,0.9035714285714286,0.8728114478114477,151,38,35.80917549133301,cv
L5,rf,median,0,1,0.8855218855218855,0.869474506974507,151,38,31.222710371017456,cv
L5,rf,median,0,2,0.7912457912457912,0.8891504329004329,151,38,32.22156882286072,cv
